iter	Passed	Remaining
0	1	108
1	1	67
2	1	52
3	1	44
4	2	41
5	2	39
6	2	38
7	3	37
8	3	36
9	4	36
10	4	35
11	4	34
12	5	33
13	5	33
14	5	33
15	6	32
16	6	32
17	7	31
18	7	31
19	7	30
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	24
31	11	24
32	12	24
33	12	24
34	13	24
35	13	24
36	14	24
37	14	23
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	20	20
50	20	19
51	21	19
52	22	19
53	22	19
54	22	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	27	14
66	28	13
67	28	13
68	29	13
69	29	12
70	29	12
71	30	11
72	30	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	35	6
85	36	5
86	36	5
87	37	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	40	2
95	40	1
96	41	1
97	41	0
98	42	0
99	42	0
