iter	Passed	Remaining
0	61	61358
1	61	30882
2	62	20752
3	62	15682
4	63	12661
5	64	10645
6	64	9214
7	65	8119
8	66	7287
9	67	6644
10	67	6080
11	68	5619
12	68	5232
13	69	4890
14	69	4585
15	70	4316
16	70	4082
17	71	3879
18	71	3695
19	71	3525
20	72	3389
21	73	3251
22	73	3125
23	73	3008
24	74	2897
25	74	2803
26	75	2717
27	75	2630
28	76	2549
29	76	2478
30	77	2417
31	77	2350
32	78	2289
33	78	2231
34	78	2177
35	79	2124
36	79	2078
37	80	2031
38	80	1990
39	81	1951
40	81	1915
41	83	1895
42	83	1860
43	84	1826
44	84	1793
45	85	1763
46	85	1731
47	85	1702
48	86	1673
49	86	1648
50	87	1628
51	88	1605
52	88	1579
53	88	1555
54	89	1538
55	89	1516
56	90	1497
57	90	1477
58	91	1456
59	91	1437
60	92	1420
61	92	1404
62	93	1389
63	93	1373
64	94	1357
65	94	1341
66	95	1326
67	95	1311
68	96	1300
69	96	1285
70	97	1271
71	97	1259
72	98	1245
73	98	1237
74	99	1225
75	99	1213
76	100	1200
77	100	1188
78	100	1177
79	102	1175
80	102	1165
81	103	1154
82	103	1141
83	103	1131
84	104	1121
85	104	1112
86	105	1103
87	105	1098
88	106	1090
89	107	1083
90	107	1074
91	108	1066
92	108	1059
93	109	1054
94	109	1046
95	110	1037
96	110	1030
97	111	1023
98	111	1015
99	112	1008
100	112	1000
101	112	993
102	113	986
103	113	979
104	114	973
105	114	968
106	115	961
107	115	953
108	116	948
109	116	942
110	116	936
111	118	935
112	118	929
113	118	924
114	119	919
115	119	913
116	120	906
117	120	902
118	121	897
119	121	892
120	122	887
121	122	881
122	122	875
123	123	870
124	123	865
125	124	860
126	124	855
127	124	850
128	125	846
129	125	842
130	126	837
131	126	832
132	126	827
133	127	823
134	127	818
135	128	813
136	129	814
137	129	810
138	130	805
139	130	801
140	130	797
141	131	793
142	131	789
143	132	785
144	132	781
145	133	779
146	133	776
147	134	772
148	134	769
149	135	766
150	135	762
151	136	759
152	136	755
153	136	752
154	137	749
155	137	746
156	138	742
157	139	740
158	139	737
159	140	735
160	140	731
161	140	728
162	141	725
163	141	722
164	142	719
165	142	717
166	143	715
167	144	713
168	144	711
169	146	714
170	146	711
171	147	708
172	148	709
173	149	707
174	149	704
175	149	701
176	150	700
177	151	698
178	151	695
179	152	692
180	152	690
181	153	687
182	153	684
183	153	682
184	154	680
185	155	678
186	155	676
187	156	674
188	156	672
189	157	670
190	157	667
191	157	664
192	158	662
193	158	660
194	159	657
195	161	661
196	161	660
197	162	657
198	162	655
199	163	652
200	163	650
201	164	648
202	164	646
203	165	644
204	165	642
205	166	640
206	166	638
207	167	636
208	167	633
209	167	631
210	168	629
211	168	627
212	169	625
213	169	623
214	170	621
215	170	619
216	170	616
217	171	614
218	171	612
219	172	611
220	173	609
221	173	608
222	174	607
223	174	606
224	175	604
225	176	604
226	176	602
227	177	602
228	178	602
229	179	600
230	179	598
231	180	597
232	181	597
233	182	596
234	182	594
235	183	592
236	183	590
237	183	588
238	184	586
239	184	585
240	185	583
241	185	581
242	186	579
243	186	578
244	187	576
245	187	574
246	187	573
247	188	571
248	188	569
249	189	567
250	189	566
251	190	564
252	190	562
253	191	561
254	191	560
255	192	559
256	193	558
257	193	557
258	194	555
259	194	554
260	195	552
261	195	551
262	196	550
263	199	555
264	199	554
265	200	554
266	201	553
267	202	552
268	202	550
269	203	548
270	203	547
271	204	546
272	204	544
273	204	542
274	205	541
275	205	539
276	206	538
277	206	536
278	207	536
279	207	534
280	208	533
281	208	532
282	209	530
283	210	529
284	210	528
285	211	527
286	211	525
287	212	524
288	212	523
289	213	521
290	213	520
291	214	519
292	214	517
293	214	516
294	215	514
295	215	512
296	216	511
297	216	510
298	216	508
299	217	506
300	217	504
301	217	503
302	218	502
303	218	500
304	219	499
305	219	497
306	219	495
307	220	494
308	220	492
309	220	491
310	221	489
311	221	488
312	221	487
313	222	485
314	222	484
315	223	483
316	223	482
317	224	481
318	224	479
319	225	478
320	225	477
321	227	477
322	227	476
323	228	475
324	228	474
325	229	473
326	229	472
327	229	471
328	230	469
329	230	468
330	231	467
331	231	466
332	232	465
333	232	463
334	233	462
335	233	461
336	234	460
337	234	459
338	235	458
339	235	457
340	236	456
341	236	455
342	236	453
343	237	452
344	237	451
345	238	450
346	238	449
347	239	448
348	239	447
349	240	446
350	241	446
351	241	445
352	242	444
353	243	443
354	243	442
355	244	442
356	245	441
357	245	440
358	246	439
359	246	438
360	247	437
361	247	436
362	248	435
363	248	434
364	249	433
365	249	432
366	249	431
367	250	429
368	250	428
369	251	427
370	251	426
371	252	425
372	252	424
373	253	423
374	253	423
375	254	422
376	255	421
377	255	420
378	256	419
379	256	418
380	257	418
381	257	417
382	258	416
383	259	415
384	259	415
385	260	413
386	260	413
387	261	412
388	261	411
389	262	410
390	262	409
391	263	408
392	263	407
393	264	406
394	264	405
395	265	404
396	265	403
397	266	402
398	266	401
399	266	400
400	267	399
401	267	398
